Longitude,Latitude,Mammal,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Mean.Elevation,SD.Elevation
-145,55,38,33.05769231,67.19230769,29.03846154,5757.403846,153.5,-73.75,227.25,38.71153846,76.75,108.8653846,-35.78846154,1944.788462,273.4615385,89.63461538,35.26923077,723.9423077,318.9615385,381.5961538,497.5961538,261.4146313,274.064106
-135,55,60,19.8373494,81.45180723,29.77786145,6602.941265,162.8915663,-109.2673193,272.1588855,33.12349398,44.92018072,104.8569277,-62.90662651,1578.97741,229.5180723,69.47289157,33.41792169,581.559488,235.6799699,307.6061747,438.0798193,828.2672976,569.7634773
-125,55,90,5.80203193,106.3457184,29.23860668,8882.496081,191.1642961,-173.3349782,364.4992743,57.5030479,-23.5532656,115.777939,-110.3224964,762.532656,102.9976778,30.75674891,34.90275762,283.6,110.6507983,194.777939,217.0046444,1062.19202,472.1967767
-115,55,95,1.8825,119.4794444,26.66833333,11275.43194,218.2691667,-227.9361111,446.2052778,119.3797222,-64.43333333,137.4133333,-150.0830556,488.6727778,78.92277778,20.98166667,48.97861111,212.2477778,70.36388889,205.7841667,87.14666667,824.3597285,499.4245513
-105,55,83,-10.865,112.0152778,22.07,13391.80083,228.0027778,-270.4366667,498.4394444,148.2022222,-164.2161111,151.2608333,-192.0108333,437.6672222,73.73083333,15.29833333,52.47861111,196.0175,54.48361111,195.2675,57.03138889,467.8886729,126.3931985
-95,55,73,-26.85398094,105.2191823,20.19827851,13863.00061,218.4343683,-290.4814018,508.9157701,138.332616,-192.2250231,142.1669228,-214.4512757,518.1039041,78.24715647,17.62834307,47.68398401,217.5293575,62.37995696,215.3433753,65.18321549,243.9831276,95.32247577
-85,55,51,-21.68878357,109.702475,21.57030016,13146.93839,214.8857293,-282.6587678,497.5444971,132.940495,-174.4802528,137.8225382,-199.9478673,631.1363876,88.57135334,24.60768826,41.77988415,244.6677199,84.03317536,242.3749342,90.89362823,149.4007992,98.27175464
-75,55,47,-44.36525822,90.70735524,19.60751174,12342.95962,166.5912363,-282.5543036,449.1455399,96.98153365,-164.4215962,102.1865415,-211.6087637,666.8644757,92.24444444,26.9743349,41.0713615,260.1840376,91.15305164,245.1017214,99.69201878,301.9177457,155.7319314
-65,55,45,-40.51248399,93.41197183,21.13828425,11404.78233,169.2957746,-262.0867478,431.3825224,88.11427657,-121.4916773,100.4404609,-192.7490397,811.7925736,98.07362356,42.79865557,27.58418694,276.5336108,143.1258003,266.0832266,159.2003841,434.9156816,185.4304861
-55,55,38,-4.48358209,81.77313433,23.00298507,8849.420896,166.0223881,-182.2880597,348.3104478,56.9761194,-32.03731343,105.5776119,-120.8149254,1057.91194,106.5432836,64.70895522,15.24328358,309.8044776,222.2895522,299.2343284,244.4298507,230.7987242,144.714133
